Date,Site ID,Cycle sequence,Combined_DateTime,Planned cycle length,Actual cycle length,Required cycle length,DS,Strategic approach controlling cycle time,Subsystem number,Stretched phase,A,B,C,D,E,F,G,Rounded_Time
2023-10-03,3902,1,2023-10-03 00:00:00,70,70,71,28,177,40,A,150.0,9.0,11.0,19.0,12.0,16.0,11.0,2023-07-04 00:00:00
2023-10-03,3902,5,2023-10-03 00:05:00,70,70,85,15,179,40,A,152.0,9.0,11.0,15.0,14.0,16.0,11.0,2023-07-04 00:05:00
2023-10-03,3902,9,2023-10-03 00:10:00,100,100,100,133,179,40,A,150.0,9.0,91.0,19.0,12.0,96.0,91.0,2023-07-04 00:10:00
2023-10-03,3902,12,2023-10-03 00:15:00,70,70,84,7,356,40,A,152.0,9.0,11.0,15.0,14.0,16.0,11.0,2023-07-04 00:15:00
2023-10-03,3902,16,2023-10-03 00:20:00,100,100,100,22,179,40,A,152.0,9.0,91.0,15.0,14.0,96.0,91.0,2023-07-04 00:20:00
2023-10-03,3902,19,2023-10-03 00:25:00,70,70,70,14,356,40,A,150.0,9.0,11.0,17.0,14.0,16.0,11.0,2023-07-04 00:25:00
2023-10-03,3902,23,2023-10-03 00:30:00,100,100,100,91,179,40,A,152.0,9.0,91.0,15.0,14.0,96.0,91.0,2023-07-04 00:30:00
2023-10-03,3902,26,2023-10-03 00:35:00,100,100,105,144,179,40,A,152.0,9.0,91.0,15.0,14.0,96.0,91.0,2023-07-04 00:35:00
2023-10-03,3902,30,2023-10-03 00:40:00,70,70,70,9,356,40,A,150.0,9.0,11.0,19.0,12.0,16.0,11.0,2023-07-04 00:40:00
2023-10-03,3902,34,2023-10-03 00:45:00,70,70,70,18,179,40,A,150.0,9.0,11.0,19.0,12.0,16.0,11.0,2023-07-04 00:45:00
2023-10-03,3902,37,2023-10-03 00:50:00,106,106,112,144,179,40,A,155.0,9.0,91.0,15.0,14.0,96.0,91.0,2023-07-04 00:50:00
2023-10-03,3902,40,2023-10-03 00:55:00,100,100,92,17,179,40,A,150.0,9.0,91.0,15.0,16.0,96.0,91.0,2023-07-04 00:55:00
2023-10-03,3902,44,2023-10-03 01:00:00,70,70,70,37,356,40,A,150.0,9.0,11.0,19.0,12.0,16.0,11.0,2023-07-04 01:00:00
2023-10-03,3902,48,2023-10-03 01:05:00,70,70,74,59,179,40,A,150.0,9.0,11.0,19.0,12.0,16.0,11.0,2023-07-04 01:05:00
2023-10-03,3902,53,2023-10-03 01:10:00,70,70,70,30,179,40,A,150.0,9.0,11.0,19.0,12.0,16.0,11.0,2023-07-04 01:10:00
2023-10-03,3902,57,2023-10-03 01:15:00,70,70,72,149,179,40,A,150.0,9.0,11.0,19.0,12.0,16.0,11.0,2023-07-04 01:15:00
2023-10-03,3902,61,2023-10-03 01:20:00,70,70,70,24,179,40,A,150.0,9.0,11.0,19.0,12.0,16.0,11.0,2023-07-04 01:20:00
2023-10-03,3902,65,2023-10-03 01:25:00,100,100,100,12,356,40,A,152.0,9.0,91.0,15.0,14.0,96.0,91.0,2023-07-04 01:25:00
