Date,Site ID,Cycle sequence,Combined_DateTime,Planned cycle length,Actual cycle length,Required cycle length,DS,Strategic approach controlling cycle time,Subsystem number,Stretched phase,A,B,C,D,E,F,G,Rounded_Time
2023-10-03,3034,1,2023-10-03 00:00:00,60,60,60,7,216,54,A,167.0,13.0,20.0,15.0,13.0,,,2023-07-04 00:00:00
2023-10-03,3034,6,2023-10-03 00:05:00,60,60,60,14,216,54,A,169.0,13.0,20.0,14.0,12.0,,,2023-07-04 00:05:00
2023-10-03,3034,11,2023-10-03 00:10:00,60,60,60,6,216,54,A,169.0,13.0,20.0,14.0,12.0,,,2023-07-04 00:10:00
2023-10-03,3034,16,2023-10-03 00:15:00,60,60,60,20,216,54,A,169.0,13.0,20.0,14.0,12.0,,,2023-07-04 00:15:00
2023-10-03,3034,21,2023-10-03 00:20:00,60,60,60,5,218,54,A,163.0,13.0,20.0,14.0,18.0,,,2023-07-04 00:20:00
2023-10-03,3034,26,2023-10-03 00:25:00,60,60,60,7,216,54,A,168.0,13.0,20.0,14.0,13.0,,,2023-07-04 00:25:00
2023-10-03,3034,31,2023-10-03 00:30:00,60,60,60,0,0,54,A,161.0,13.0,20.0,16.0,18.0,,,2023-07-04 00:30:00
2023-10-03,3034,36,2023-10-03 00:35:00,60,60,60,6,218,54,A,169.0,13.0,20.0,14.0,12.0,,,2023-07-04 00:35:00
2023-10-03,3034,41,2023-10-03 00:40:00,60,60,60,16,216,54,A,169.0,13.0,20.0,14.0,12.0,,,2023-07-04 00:40:00
2023-10-03,3034,46,2023-10-03 00:45:00,60,60,60,12,216,54,A,169.0,13.0,20.0,14.0,12.0,,,2023-07-04 00:45:00
2023-10-03,3034,51,2023-10-03 00:50:00,60,60,60,0,0,54,A,169.0,13.0,20.0,14.0,12.0,,,2023-07-04 00:50:00
2023-10-03,3034,56,2023-10-03 00:55:00,60,60,60,6,218,54,A,169.0,13.0,20.0,14.0,12.0,,,2023-07-04 00:55:00
2023-10-03,3034,61,2023-10-03 01:00:00,60,60,60,9,216,54,A,165.0,13.0,20.0,15.0,15.0,,,2023-07-04 01:00:00
2023-10-03,3034,66,2023-10-03 01:05:00,60,60,60,11,216,54,A,169.0,13.0,20.0,14.0,12.0,,,2023-07-04 01:05:00
2023-10-03,3034,71,2023-10-03 01:10:00,60,60,60,25,218,54,A,169.0,13.0,20.0,14.0,12.0,,,2023-07-04 01:10:00
2023-10-03,3034,76,2023-10-03 01:15:00,60,60,60,7,217,54,A,169.0,13.0,20.0,14.0,12.0,,,2023-07-04 01:15:00
2023-10-03,3034,81,2023-10-03 01:20:00,60,60,60,7,216,54,A,169.0,13.0,20.0,14.0,12.0,,,2023-07-04 01:20:00
2023-10-03,3034,86,2023-10-03 01:25:00,60,60,60,9,217,54,A,162.0,13.0,20.0,15.0,18.0,,,2023-07-04 01:25:00
2023-10-03,3034,91,2023-10-03 01:30:00,60,60,60,6,216,54,A,162.0,13.0,20.0,15.0,18.0,,,2023-07-04 01:30:00
2023-10-03,3034,96,2023-10-03 01:35:00,60,60,60,7,216,54,A,169.0,13.0,20.0,14.0,12.0,,,2023-07-04 01:35:00
2023-10-03,3034,101,2023-10-03 01:40:00,60,60,60,0,0,54,A,161.0,13.0,20.0,16.0,18.0,,,2023-07-04 01:40:00
2023-10-03,3034,106,2023-10-03 01:45:00,60,60,60,7,216,54,A,167.0,13.0,20.0,14.0,14.0,,,2023-07-04 01:45:00
2023-10-03,3034,111,2023-10-03 01:50:00,60,60,60,6,216,54,A,162.0,13.0,20.0,15.0,18.0,,,2023-07-04 01:50:00
2023-10-03,3034,116,2023-10-03 01:55:00,60,60,60,15,216,54,A,162.0,13.0,20.0,15.0,18.0,,,2023-07-04 01:55:00
2023-10-03,3034,121,2023-10-03 02:00:00,60,60,60,0,0,54,A,161.0,13.0,20.0,13.0,21.0,,,2023-07-04 02:00:00
2023-10-03,3034,126,2023-10-03 02:05:00,60,60,60,0,0,54,A,161.0,13.0,20.0,16.0,18.0,,,2023-07-04 02:05:00
2023-10-03,3034,131,2023-10-03 02:10:00,60,60,60,14,218,54,A,162.0,13.0,20.0,14.0,19.0,,,2023-07-04 02:10:00
2023-10-03,3034,136,2023-10-03 02:15:00,60,60,60,7,216,54,A,167.0,13.0,20.0,14.0,14.0,,,2023-07-04 02:15:00
2023-10-03,3034,141,2023-10-03 02:20:00,60,60,60,12,216,54,A,163.0,13.0,20.0,14.0,18.0,,,2023-07-04 02:20:00
2023-10-03,3034,146,2023-10-03 02:25:00,60,60,60,0,0,54,A,169.0,13.0,20.0,14.0,12.0,,,2023-07-04 02:25:00
2023-10-03,3034,151,2023-10-03 02:30:00,60,60,60,6,217,54,A,163.0,13.0,20.0,14.0,18.0,,,2023-07-04 02:30:00
2023-10-03,3034,156,2023-10-03 02:35:00,60,60,60,0,0,54,A,159.0,13.0,20.0,18.0,18.0,,,2023-07-04 02:35:00
2023-10-03,3034,161,2023-10-03 02:40:00,60,60,60,7,216,54,A,162.0,13.0,20.0,15.0,18.0,,,2023-07-04 02:40:00
2023-10-03,3034,166,2023-10-03 02:45:00,60,60,60,6,216,54,A,164.0,13.0,20.0,14.0,17.0,,,2023-07-04 02:45:00
2023-10-03,3034,171,2023-10-03 02:50:00,60,60,60,7,216,54,A,169.0,13.0,20.0,14.0,12.0,,,2023-07-04 02:50:00
2023-10-03,3034,176,2023-10-03 02:55:00,60,60,60,7,218,54,A,163.0,13.0,20.0,14.0,18.0,,,2023-07-04 02:55:00
2023-10-03,3034,181,2023-10-03 03:00:00,60,60,60,0,0,54,A,161.0,13.0,20.0,16.0,18.0,,,2023-07-04 03:00:00
2023-10-03,3034,186,2023-10-03 03:05:00,60,60,60,6,218,54,A,163.0,13.0,20.0,14.0,18.0,,,2023-07-04 03:05:00
2023-10-03,3034,191,2023-10-03 03:10:00,60,60,60,7,216,54,A,162.0,13.0,20.0,15.0,18.0,,,2023-07-04 03:10:00
2023-10-03,3034,196,2023-10-03 03:15:00,60,60,60,7,216,54,A,168.0,13.0,20.0,15.0,12.0,,,2023-07-04 03:15:00
2023-10-03,3034,201,2023-10-03 03:20:00,60,60,60,7,217,54,A,164.0,13.0,20.0,14.0,17.0,,,2023-07-04 03:20:00
2023-10-03,3034,206,2023-10-03 03:25:00,60,60,60,0,0,54,A,159.0,13.0,20.0,18.0,18.0,,,2023-07-04 03:25:00
2023-10-03,3034,211,2023-10-03 03:30:00,60,60,60,14,216,54,A,162.0,13.0,20.0,15.0,18.0,,,2023-07-04 03:30:00
2023-10-03,3034,216,2023-10-03 03:35:00,60,60,60,6,217,54,A,163.0,13.0,20.0,14.0,18.0,,,2023-07-04 03:35:00
2023-10-03,3034,221,2023-10-03 03:40:00,60,60,60,0,0,54,A,161.0,13.0,20.0,16.0,18.0,,,2023-07-04 03:40:00
