Date,Site ID,Cycle sequence,Combined_DateTime,Planned cycle length,Actual cycle length,Required cycle length,DS,Strategic approach controlling cycle time,Subsystem number,Stretched phase,A,B,C,D,E,F,G,Rounded_Time
2023-10-03,3025,1,2023-10-03 00:00:00,60,60,60,8,109,25,A,169.0,1.0,20.0,39.0,,,,2023-07-04 00:00:00
2023-10-03,3025,6,2023-10-03 00:05:00,60,60,60,20,109,25,A,163.0,1.0,26.0,39.0,,,,2023-07-04 00:05:00
2023-10-03,3025,11,2023-10-03 00:10:00,60,60,60,5,112,25,A,163.0,1.0,25.0,40.0,,,,2023-07-04 00:10:00
2023-10-03,3025,16,2023-10-03 00:15:00,60,60,60,16,111,25,A,166.0,1.0,22.0,40.0,,,,2023-07-04 00:15:00
2023-10-03,3025,21,2023-10-03 00:20:00,60,60,60,6,113,25,A,167.0,1.0,22.0,39.0,,,,2023-07-04 00:20:00
2023-10-03,3025,26,2023-10-03 00:25:00,60,60,60,16,109,25,A,163.0,1.0,25.0,40.0,,,,2023-07-04 00:25:00
2023-10-03,3025,31,2023-10-03 00:30:00,60,60,60,6,113,25,A,166.0,1.0,22.0,40.0,,,,2023-07-04 00:30:00
2023-10-03,3025,36,2023-10-03 00:35:00,60,60,60,28,109,25,A,167.0,1.0,22.0,39.0,,,,2023-07-04 00:35:00
2023-10-03,3025,41,2023-10-03 00:40:00,60,60,60,0,0,25,A,168.0,1.0,22.0,38.0,,,,2023-07-04 00:40:00
2023-10-03,3025,46,2023-10-03 00:45:00,60,60,60,6,113,25,A,167.0,1.0,22.0,39.0,,,,2023-07-04 00:45:00
2023-10-03,3025,51,2023-10-03 00:50:00,60,60,60,6,113,25,A,167.0,1.0,22.0,39.0,,,,2023-07-04 00:50:00
2023-10-03,3025,56,2023-10-03 00:55:00,60,60,60,10,113,25,A,171.0,1.0,18.0,39.0,,,,2023-07-04 00:55:00
2023-10-03,3025,61,2023-10-03 01:00:00,60,60,60,8,112,25,A,173.0,1.0,16.0,39.0,,,,2023-07-04 01:00:00
2023-10-03,3025,66,2023-10-03 01:05:00,60,60,60,12,110,25,A,173.0,1.0,16.0,39.0,,,,2023-07-04 01:05:00
2023-10-03,3025,71,2023-10-03 01:10:00,60,60,60,6,113,25,A,170.0,1.0,19.0,39.0,,,,2023-07-04 01:10:00
2023-10-03,3025,76,2023-10-03 01:15:00,60,60,60,0,0,25,A,168.0,1.0,22.0,38.0,,,,2023-07-04 01:15:00
2023-10-03,3025,81,2023-10-03 01:20:00,60,60,60,0,0,25,A,163.0,1.0,25.0,40.0,,,,2023-07-04 01:20:00
2023-10-03,3025,86,2023-10-03 01:25:00,60,60,60,13,113,25,A,165.0,1.0,23.0,40.0,,,,2023-07-04 01:25:00
2023-10-03,3025,91,2023-10-03 01:30:00,60,60,60,8,112,25,A,166.0,1.0,22.0,40.0,,,,2023-07-04 01:30:00
2023-10-03,3025,96,2023-10-03 01:35:00,60,60,60,0,0,25,A,163.0,1.0,25.0,40.0,,,,2023-07-04 01:35:00
2023-10-03,3025,101,2023-10-03 01:40:00,60,60,60,11,112,25,A,163.0,1.0,25.0,40.0,,,,2023-07-04 01:40:00
2023-10-03,3025,106,2023-10-03 01:45:00,60,60,60,6,113,25,A,163.0,1.0,25.0,40.0,,,,2023-07-04 01:45:00
2023-10-03,3025,111,2023-10-03 01:50:00,60,60,60,9,113,25,A,158.0,1.0,30.0,40.0,,,,2023-07-04 01:50:00
2023-10-03,3025,116,2023-10-03 01:55:00,60,60,60,0,0,25,A,158.0,1.0,30.0,40.0,,,,2023-07-04 01:55:00
2023-10-03,3025,121,2023-10-03 02:00:00,60,60,60,8,113,25,A,161.0,1.0,27.0,40.0,,,,2023-07-04 02:00:00
2023-10-03,3025,126,2023-10-03 02:05:00,60,60,60,5,110,25,A,162.0,1.0,26.0,40.0,,,,2023-07-04 02:05:00
2023-10-03,3025,131,2023-10-03 02:10:00,60,60,60,8,110,25,A,157.0,1.0,31.0,40.0,,,,2023-07-04 02:10:00
2023-10-03,3025,136,2023-10-03 02:15:00,60,60,60,0,0,25,A,158.0,1.0,30.0,40.0,,,,2023-07-04 02:15:00
2023-10-03,3025,141,2023-10-03 02:20:00,60,60,60,6,113,25,A,158.0,1.0,30.0,40.0,,,,2023-07-04 02:20:00
2023-10-03,3025,146,2023-10-03 02:25:00,60,60,60,0,0,25,A,158.0,1.0,30.0,40.0,,,,2023-07-04 02:25:00
2023-10-03,3025,151,2023-10-03 02:30:00,60,60,60,0,0,25,A,158.0,1.0,30.0,40.0,,,,2023-07-04 02:30:00
2023-10-03,3025,156,2023-10-03 02:35:00,60,60,60,9,110,25,A,158.0,1.0,30.0,40.0,,,,2023-07-04 02:35:00
2023-10-03,3025,161,2023-10-03 02:40:00,60,60,60,8,112,25,A,165.0,1.0,23.0,40.0,,,,2023-07-04 02:40:00
2023-10-03,3025,166,2023-10-03 02:45:00,60,60,60,0,0,25,A,163.0,1.0,25.0,40.0,,,,2023-07-04 02:45:00
2023-10-03,3025,171,2023-10-03 02:50:00,60,60,60,0,0,25,A,163.0,1.0,25.0,40.0,,,,2023-07-04 02:50:00
2023-10-03,3025,176,2023-10-03 02:55:00,60,60,60,6,113,25,A,162.0,1.0,26.0,40.0,,,,2023-07-04 02:55:00
2023-10-03,3025,181,2023-10-03 03:00:00,60,60,60,5,110,25,A,163.0,1.0,25.0,40.0,,,,2023-07-04 03:00:00
2023-10-03,3025,186,2023-10-03 03:05:00,60,60,60,0,0,25,A,163.0,1.0,25.0,40.0,,,,2023-07-04 03:05:00
2023-10-03,3025,191,2023-10-03 03:10:00,60,60,60,5,112,25,A,167.0,1.0,22.0,39.0,,,,2023-07-04 03:10:00
2023-10-03,3025,196,2023-10-03 03:15:00,60,60,60,7,113,25,A,167.0,1.0,22.0,39.0,,,,2023-07-04 03:15:00
2023-10-03,3025,201,2023-10-03 03:20:00,60,60,60,5,112,25,A,163.0,1.0,25.0,40.0,,,,2023-07-04 03:20:00
2023-10-03,3025,206,2023-10-03 03:25:00,60,60,60,0,0,25,A,163.0,1.0,25.0,40.0,,,,2023-07-04 03:25:00
2023-10-03,3025,211,2023-10-03 03:30:00,60,60,60,10,113,25,A,163.0,1.0,25.0,40.0,,,,2023-07-04 03:30:00
2023-10-03,3025,216,2023-10-03 03:35:00,60,60,60,0,0,25,A,162.0,1.0,26.0,40.0,,,,2023-07-04 03:35:00
2023-10-03,3025,221,2023-10-03 03:40:00,60,60,60,20,109,25,A,156.0,1.0,32.0,40.0,,,,2023-07-04 03:40:00
2023-10-03,3025,226,2023-10-03 03:45:00,60,60,60,13,113,25,A,158.0,1.0,30.0,40.0,,,,2023-07-04 03:45:00
2023-10-03,3025,231,2023-10-03 03:50:00,60,60,60,5,112,25,A,158.0,1.0,30.0,40.0,,,,2023-07-04 03:50:00
2023-10-03,3025,236,2023-10-03 03:55:00,60,60,60,6,110,25,A,158.0,1.0,30.0,40.0,,,,2023-07-04 03:55:00
2023-10-03,3025,241,2023-10-03 04:00:00,60,60,60,6,113,25,A,158.0,1.0,30.0,40.0,,,,2023-07-04 04:00:00
2023-10-03,3025,246,2023-10-03 04:05:00,60,60,60,0,0,25,A,158.0,1.0,30.0,40.0,,,,2023-07-04 04:05:00
2023-10-03,3025,251,2023-10-03 04:10:00,60,60,60,5,110,25,A,158.0,1.0,30.0,40.0,,,,2023-07-04 04:10:00
2023-10-03,3025,256,2023-10-03 04:15:00,60,60,60,5,112,25,A,162.0,1.0,26.0,40.0,,,,2023-07-04 04:15:00
2023-10-03,3025,261,2023-10-03 04:20:00,60,60,60,34,109,25,A,156.0,1.0,32.0,40.0,,,,2023-07-04 04:20:00
2023-10-03,3025,266,2023-10-03 04:25:00,60,60,60,12,110,25,A,162.0,1.0,26.0,40.0,,,,2023-07-04 04:25:00
2023-10-03,3025,271,2023-10-03 04:30:00,60,60,60,10,110,25,A,162.0,1.0,26.0,40.0,,,,2023-07-04 04:30:00
