Date,Site ID,Cycle sequence,Combined_DateTime,Planned cycle length,Actual cycle length,Required cycle length,DS,Strategic approach controlling cycle time,Subsystem number,Stretched phase,A,B,C,D,E,F,G,Rounded_Time
2023-10-03,3051,1,2023-10-03 00:00:00,60,60,60,12,240,10,A,192.0,1.0,19.0,17.0,,,,2023-07-04 00:00:00
2023-10-03,3051,6,2023-10-03 00:05:00,60,60,60,6,240,10,A,192.0,1.0,19.0,17.0,,,,2023-07-04 00:05:00
2023-10-03,3051,11,2023-10-03 00:10:00,60,60,60,8,241,10,A,192.0,1.0,19.0,17.0,,,,2023-07-04 00:10:00
2023-10-03,3051,16,2023-10-03 00:15:00,60,60,60,5,240,10,A,192.0,1.0,19.0,17.0,,,,2023-07-04 00:15:00
2023-10-03,3051,21,2023-10-03 00:20:00,60,60,60,14,240,10,A,192.0,1.0,19.0,17.0,,,,2023-07-04 00:20:00
2023-10-03,3051,26,2023-10-03 00:25:00,60,60,60,8,240,10,A,192.0,1.0,19.0,17.0,,,,2023-07-04 00:25:00
2023-10-03,3051,31,2023-10-03 00:30:00,60,60,60,5,240,10,A,191.0,1.0,19.0,18.0,,,,2023-07-04 00:30:00
2023-10-03,3051,36,2023-10-03 00:35:00,60,60,60,12,241,10,A,191.0,1.0,20.0,17.0,,,,2023-07-04 00:35:00
2023-10-03,3051,41,2023-10-03 00:40:00,60,60,60,7,240,10,A,192.0,1.0,19.0,17.0,,,,2023-07-04 00:40:00
2023-10-03,3051,46,2023-10-03 00:45:00,60,60,60,18,240,10,A,188.0,1.0,20.0,20.0,,,,2023-07-04 00:45:00
2023-10-03,3051,51,2023-10-03 00:50:00,60,60,60,11,241,10,A,192.0,1.0,19.0,17.0,,,,2023-07-04 00:50:00
2023-10-03,3051,56,2023-10-03 00:55:00,60,60,60,0,0,10,A,188.0,1.0,20.0,20.0,,,,2023-07-04 00:55:00
2023-10-03,3051,61,2023-10-03 01:00:00,60,60,60,7,240,10,A,188.0,1.0,20.0,20.0,,,,2023-07-04 01:00:00
2023-10-03,3051,66,2023-10-03 01:05:00,60,60,60,8,240,10,A,189.0,1.0,19.0,20.0,,,,2023-07-04 01:05:00
2023-10-03,3051,71,2023-10-03 01:10:00,60,60,60,6,241,10,A,191.0,1.0,19.0,18.0,,,,2023-07-04 01:10:00
2023-10-03,3051,76,2023-10-03 01:15:00,60,60,60,14,241,10,A,192.0,1.0,19.0,17.0,,,,2023-07-04 01:15:00
2023-10-03,3051,81,2023-10-03 01:20:00,60,60,60,6,241,10,A,191.0,1.0,19.0,18.0,,,,2023-07-04 01:20:00
2023-10-03,3051,86,2023-10-03 01:25:00,60,60,60,0,0,10,A,188.0,1.0,20.0,20.0,,,,2023-07-04 01:25:00
2023-10-03,3051,91,2023-10-03 01:30:00,60,60,60,0,0,10,A,188.0,1.0,20.0,20.0,,,,2023-07-04 01:30:00
2023-10-03,3051,96,2023-10-03 01:35:00,60,60,60,6,240,10,A,192.0,1.0,19.0,17.0,,,,2023-07-04 01:35:00
2023-10-03,3051,101,2023-10-03 01:40:00,60,60,60,5,240,10,A,190.0,1.0,19.0,19.0,,,,2023-07-04 01:40:00
2023-10-03,3051,106,2023-10-03 01:45:00,60,60,60,8,241,10,A,188.0,1.0,20.0,20.0,,,,2023-07-04 01:45:00
2023-10-03,3051,111,2023-10-03 01:50:00,60,60,60,5,240,10,A,191.0,1.0,19.0,18.0,,,,2023-07-04 01:50:00
2023-10-03,3051,116,2023-10-03 01:55:00,60,60,60,0,0,10,A,188.0,1.0,20.0,20.0,,,,2023-07-04 01:55:00
2023-10-03,3051,121,2023-10-03 02:00:00,60,60,60,0,0,10,A,188.0,1.0,20.0,20.0,,,,2023-07-04 02:00:00
2023-10-03,3051,126,2023-10-03 02:05:00,60,60,60,6,240,10,A,192.0,1.0,19.0,17.0,,,,2023-07-04 02:05:00
2023-10-03,3051,131,2023-10-03 02:10:00,60,60,60,6,241,10,A,190.0,1.0,19.0,19.0,,,,2023-07-04 02:10:00
2023-10-03,3051,136,2023-10-03 02:15:00,60,60,60,5,241,10,A,190.0,1.0,19.0,19.0,,,,2023-07-04 02:15:00
2023-10-03,3051,141,2023-10-03 02:20:00,60,60,60,0,0,10,A,188.0,1.0,20.0,20.0,,,,2023-07-04 02:20:00
2023-10-03,3051,146,2023-10-03 02:25:00,60,60,60,6,240,10,A,190.0,1.0,19.0,19.0,,,,2023-07-04 02:25:00
2023-10-03,3051,151,2023-10-03 02:30:00,60,60,60,0,0,10,A,188.0,1.0,20.0,20.0,,,,2023-07-04 02:30:00
2023-10-03,3051,156,2023-10-03 02:35:00,60,60,60,5,240,10,A,189.0,1.0,19.0,20.0,,,,2023-07-04 02:35:00
2023-10-03,3051,161,2023-10-03 02:40:00,60,60,60,8,240,10,A,192.0,1.0,19.0,17.0,,,,2023-07-04 02:40:00
2023-10-03,3051,166,2023-10-03 02:45:00,60,60,60,5,240,10,A,189.0,1.0,19.0,20.0,,,,2023-07-04 02:45:00
2023-10-03,3051,171,2023-10-03 02:50:00,60,60,60,6,241,10,A,192.0,1.0,19.0,17.0,,,,2023-07-04 02:50:00
2023-10-03,3051,176,2023-10-03 02:55:00,60,60,60,6,240,10,A,189.0,1.0,19.0,20.0,,,,2023-07-04 02:55:00
2023-10-03,3051,181,2023-10-03 03:00:00,60,60,60,6,240,10,A,192.0,1.0,19.0,17.0,,,,2023-07-04 03:00:00
2023-10-03,3051,186,2023-10-03 03:05:00,60,60,60,0,0,10,A,188.0,1.0,20.0,20.0,,,,2023-07-04 03:05:00
2023-10-03,3051,191,2023-10-03 03:10:00,60,60,60,0,0,10,A,188.0,1.0,20.0,20.0,,,,2023-07-04 03:10:00
2023-10-03,3051,196,2023-10-03 03:15:00,60,60,60,5,240,10,A,189.0,1.0,19.0,20.0,,,,2023-07-04 03:15:00
2023-10-03,3051,201,2023-10-03 03:20:00,60,60,60,6,240,10,A,189.0,1.0,19.0,20.0,,,,2023-07-04 03:20:00
2023-10-03,3051,206,2023-10-03 03:25:00,60,60,60,8,240,10,A,192.0,1.0,19.0,17.0,,,,2023-07-04 03:25:00
2023-10-03,3051,211,2023-10-03 03:30:00,60,60,60,5,240,10,A,190.0,1.0,19.0,19.0,,,,2023-07-04 03:30:00
2023-10-03,3051,216,2023-10-03 03:35:00,60,60,60,5,241,10,A,192.0,1.0,19.0,17.0,,,,2023-07-04 03:35:00
2023-10-03,3051,221,2023-10-03 03:40:00,60,60,60,6,240,10,A,190.0,1.0,19.0,19.0,,,,2023-07-04 03:40:00
2023-10-03,3051,226,2023-10-03 03:45:00,60,60,60,6,240,10,A,192.0,1.0,19.0,17.0,,,,2023-07-04 03:45:00
2023-10-03,3051,231,2023-10-03 03:50:00,60,60,60,6,241,10,A,192.0,1.0,19.0,17.0,,,,2023-07-04 03:50:00
2023-10-03,3051,236,2023-10-03 03:55:00,60,60,60,9,241,10,A,189.0,1.0,19.0,20.0,,,,2023-07-04 03:55:00
2023-10-03,3051,241,2023-10-03 04:00:00,60,60,60,6,241,10,A,189.0,1.0,19.0,20.0,,,,2023-07-04 04:00:00
2023-10-03,3051,246,2023-10-03 04:05:00,60,60,60,5,240,10,A,190.0,1.0,19.0,19.0,,,,2023-07-04 04:05:00
2023-10-03,3051,251,2023-10-03 04:10:00,60,60,60,5,240,10,A,188.0,1.0,20.0,20.0,,,,2023-07-04 04:10:00
2023-10-03,3051,256,2023-10-03 04:15:00,60,60,60,6,240,10,A,189.0,1.0,19.0,20.0,,,,2023-07-04 04:15:00
2023-10-03,3051,261,2023-10-03 04:20:00,60,60,60,0,0,10,A,188.0,1.0,20.0,20.0,,,,2023-07-04 04:20:00
2023-10-03,3051,266,2023-10-03 04:25:00,60,60,60,5,240,10,A,191.0,1.0,19.0,18.0,,,,2023-07-04 04:25:00
2023-10-03,3051,271,2023-10-03 04:30:00,60,60,60,14,240,10,A,189.0,1.0,19.0,20.0,,,,2023-07-04 04:30:00
2023-10-03,3051,276,2023-10-03 04:35:00,60,60,60,11,240,10,A,190.0,1.0,19.0,19.0,,,,2023-07-04 04:35:00
