Date,Site ID,Cycle sequence,Combined_DateTime,Planned cycle length,Actual cycle length,Required cycle length,DS,Strategic approach controlling cycle time,Subsystem number,Stretched phase,A,B,C,D,E,F,G,Rounded_Time
2023-10-03,3113,1,2023-10-03 00:00:00,60,60,60,10,327,85,A,188.0,1.0,20.0,20.0,,,,2023-07-04 00:00:00
2023-10-03,3113,6,2023-10-03 00:05:00,60,60,60,7,327,85,A,190.0,1.0,18.0,20.0,,,,2023-07-04 00:05:00
2023-10-03,3113,11,2023-10-03 00:10:00,60,60,60,7,327,85,A,183.0,1.0,25.0,20.0,,,,2023-07-04 00:10:00
2023-10-03,3113,16,2023-10-03 00:15:00,60,60,60,0,0,85,A,178.0,1.0,30.0,20.0,,,,2023-07-04 00:15:00
2023-10-03,3113,21,2023-10-03 00:20:00,60,60,60,14,327,85,A,188.0,1.0,20.0,20.0,,,,2023-07-04 00:20:00
2023-10-03,3113,26,2023-10-03 00:25:00,60,60,60,14,327,85,A,181.0,1.0,27.0,20.0,,,,2023-07-04 00:25:00
2023-10-03,3113,31,2023-10-03 00:30:00,60,60,60,17,328,85,A,183.0,1.0,25.0,20.0,,,,2023-07-04 00:30:00
2023-10-03,3113,36,2023-10-03 00:35:00,60,60,60,8,328,85,A,191.0,1.0,17.0,20.0,,,,2023-07-04 00:35:00
2023-10-03,3113,41,2023-10-03 00:40:00,60,60,60,8,327,85,A,193.0,1.0,17.0,18.0,,,,2023-07-04 00:40:00
2023-10-03,3113,46,2023-10-03 00:45:00,60,60,60,7,328,85,A,182.0,1.0,26.0,20.0,,,,2023-07-04 00:45:00
2023-10-03,3113,51,2023-10-03 00:50:00,60,60,60,8,328,85,A,183.0,1.0,25.0,20.0,,,,2023-07-04 00:50:00
2023-10-03,3113,56,2023-10-03 00:55:00,60,60,60,7,328,85,A,179.0,1.0,29.0,20.0,,,,2023-07-04 00:55:00
2023-10-03,3113,61,2023-10-03 01:00:00,60,60,60,18,512,85,A,185.0,1.0,23.0,20.0,,,,2023-07-04 01:00:00
2023-10-03,3113,66,2023-10-03 01:05:00,60,60,60,12,328,85,A,181.0,1.0,27.0,20.0,,,,2023-07-04 01:05:00
2023-10-03,3113,71,2023-10-03 01:10:00,60,60,60,0,0,85,A,178.0,1.0,30.0,20.0,,,,2023-07-04 01:10:00
2023-10-03,3113,76,2023-10-03 01:15:00,60,60,60,8,328,85,A,179.0,1.0,29.0,20.0,,,,2023-07-04 01:15:00
2023-10-03,3113,81,2023-10-03 01:20:00,60,60,60,10,511,85,A,180.0,1.0,28.0,20.0,,,,2023-07-04 01:20:00
2023-10-03,3113,86,2023-10-03 01:25:00,60,60,60,0,0,85,A,178.0,1.0,30.0,20.0,,,,2023-07-04 01:25:00
2023-10-03,3113,91,2023-10-03 01:30:00,60,60,60,0,0,85,A,178.0,1.0,30.0,20.0,,,,2023-07-04 01:30:00
2023-10-03,3113,96,2023-10-03 01:35:00,60,60,60,7,327,85,A,181.0,1.0,27.0,20.0,,,,2023-07-04 01:35:00
2023-10-03,3113,101,2023-10-03 01:40:00,60,60,60,0,0,85,A,178.0,1.0,30.0,20.0,,,,2023-07-04 01:40:00
2023-10-03,3113,106,2023-10-03 01:45:00,60,60,60,7,328,85,A,179.0,1.0,29.0,20.0,,,,2023-07-04 01:45:00
2023-10-03,3113,111,2023-10-03 01:50:00,60,60,60,11,328,85,A,183.0,1.0,25.0,20.0,,,,2023-07-04 01:50:00
2023-10-03,3113,116,2023-10-03 01:55:00,60,60,60,0,0,85,A,179.0,1.0,29.0,20.0,,,,2023-07-04 01:55:00
2023-10-03,3113,121,2023-10-03 02:00:00,60,60,60,10,327,85,A,179.0,1.0,29.0,20.0,,,,2023-07-04 02:00:00
2023-10-03,3113,126,2023-10-03 02:05:00,60,60,60,0,0,85,A,178.0,1.0,30.0,20.0,,,,2023-07-04 02:05:00
2023-10-03,3113,131,2023-10-03 02:10:00,60,60,60,0,0,85,A,178.0,1.0,30.0,20.0,,,,2023-07-04 02:10:00
2023-10-03,3113,136,2023-10-03 02:15:00,60,60,60,0,0,85,A,178.0,1.0,30.0,20.0,,,,2023-07-04 02:15:00
2023-10-03,3113,141,2023-10-03 02:20:00,60,60,60,0,0,85,A,178.0,1.0,30.0,20.0,,,,2023-07-04 02:20:00
2023-10-03,3113,146,2023-10-03 02:25:00,60,60,60,7,327,85,A,179.0,1.0,29.0,20.0,,,,2023-07-04 02:25:00
2023-10-03,3113,151,2023-10-03 02:30:00,60,60,60,9,328,85,A,179.0,1.0,29.0,20.0,,,,2023-07-04 02:30:00
2023-10-03,3113,156,2023-10-03 02:35:00,60,60,60,7,328,85,A,179.0,1.0,29.0,20.0,,,,2023-07-04 02:35:00
2023-10-03,3113,161,2023-10-03 02:40:00,60,60,60,8,327,85,A,179.0,1.0,29.0,20.0,,,,2023-07-04 02:40:00
2023-10-03,3113,166,2023-10-03 02:45:00,60,60,60,7,328,85,A,180.0,1.0,28.0,20.0,,,,2023-07-04 02:45:00
2023-10-03,3113,171,2023-10-03 02:50:00,60,60,60,7,328,85,A,181.0,1.0,27.0,20.0,,,,2023-07-04 02:50:00
2023-10-03,3113,176,2023-10-03 02:55:00,60,60,60,0,0,85,A,178.0,1.0,30.0,20.0,,,,2023-07-04 02:55:00
2023-10-03,3113,181,2023-10-03 03:00:00,60,60,60,0,0,85,A,178.0,1.0,30.0,20.0,,,,2023-07-04 03:00:00
2023-10-03,3113,186,2023-10-03 03:05:00,60,60,60,6,327,85,A,181.0,1.0,27.0,20.0,,,,2023-07-04 03:05:00
2023-10-03,3113,191,2023-10-03 03:10:00,60,60,60,0,0,85,A,178.0,1.0,30.0,20.0,,,,2023-07-04 03:10:00
