Date,Site ID,Cycle sequence,Combined_DateTime,Planned cycle length,Actual cycle length,Required cycle length,DS,Strategic approach controlling cycle time,Subsystem number,Stretched phase,A,B,C,D,E,F,G,Rounded_Time
2023-10-03,3011,1,2023-10-03 00:00:00,70,70,70,13,86,20,A,147.0,12.0,1.0,26.0,15.0,28.0,,2023-07-04 00:00:00
2023-10-03,3011,5,2023-10-03 00:05:00,70,70,70,22,85,20,A,147.0,12.0,1.0,26.0,15.0,28.0,,2023-07-04 00:05:00
2023-10-03,3011,9,2023-10-03 00:10:00,70,70,70,10,85,20,A,147.0,12.0,1.0,26.0,15.0,28.0,,2023-07-04 00:10:00
2023-10-03,3011,13,2023-10-03 00:15:00,70,70,70,28,87,20,A,147.0,12.0,1.0,26.0,15.0,28.0,,2023-07-04 00:15:00
2023-10-03,3011,18,2023-10-03 00:20:00,70,70,70,7,85,20,A,147.0,12.0,1.0,26.0,15.0,28.0,,2023-07-04 00:20:00
2023-10-03,3011,22,2023-10-03 00:25:00,70,70,70,7,85,20,A,147.0,12.0,1.0,26.0,15.0,28.0,,2023-07-04 00:25:00
2023-10-03,3011,26,2023-10-03 00:30:00,70,70,70,10,86,20,A,147.0,12.0,1.0,26.0,15.0,28.0,,2023-07-04 00:30:00
2023-10-03,3011,31,2023-10-03 00:35:00,70,70,70,14,90,20,A,162.0,12.0,1.0,18.0,14.0,22.0,,2023-07-04 00:35:00
2023-10-03,3011,35,2023-10-03 00:40:00,70,70,70,6,85,20,A,146.0,12.0,1.0,26.0,16.0,28.0,,2023-07-04 00:40:00
2023-10-03,3011,39,2023-10-03 00:45:00,70,70,70,16,86,20,A,146.0,12.0,1.0,26.0,16.0,28.0,,2023-07-04 00:45:00
2023-10-03,3011,43,2023-10-03 00:50:00,70,70,70,7,89,20,A,146.0,12.0,1.0,26.0,16.0,28.0,,2023-07-04 00:50:00
2023-10-03,3011,48,2023-10-03 00:55:00,70,70,70,9,86,20,A,146.0,12.0,1.0,26.0,16.0,28.0,,2023-07-04 00:55:00
2023-10-03,3011,52,2023-10-03 01:00:00,70,70,70,59,87,20,A,146.0,12.0,1.0,26.0,16.0,28.0,,2023-07-04 01:00:00
2023-10-03,3011,56,2023-10-03 01:05:00,70,70,70,6,86,20,A,146.0,12.0,1.0,26.0,16.0,28.0,,2023-07-04 01:05:00
2023-10-03,3011,61,2023-10-03 01:10:00,70,70,70,15,85,20,A,150.0,12.0,1.0,24.0,14.0,28.0,,2023-07-04 01:10:00
2023-10-03,3011,65,2023-10-03 01:15:00,70,70,70,0,0,20,A,146.0,12.0,1.0,26.0,16.0,28.0,,2023-07-04 01:15:00
2023-10-03,3011,69,2023-10-03 01:20:00,70,70,70,8,85,20,A,146.0,12.0,1.0,26.0,16.0,28.0,,2023-07-04 01:20:00
2023-10-03,3011,73,2023-10-03 01:25:00,70,70,70,24,87,20,A,162.0,12.0,1.0,18.0,14.0,22.0,,2023-07-04 01:25:00
2023-10-03,3011,78,2023-10-03 01:30:00,70,70,70,0,0,20,A,146.0,12.0,1.0,26.0,16.0,28.0,,2023-07-04 01:30:00
2023-10-03,3011,82,2023-10-03 01:35:00,70,70,70,22,87,20,A,146.0,12.0,1.0,26.0,16.0,28.0,,2023-07-04 01:35:00
2023-10-03,3011,86,2023-10-03 01:40:00,70,70,70,7,85,20,A,146.0,12.0,1.0,26.0,16.0,28.0,,2023-07-04 01:40:00
2023-10-03,3011,91,2023-10-03 01:45:00,70,70,70,26,87,20,A,150.0,12.0,1.0,24.0,14.0,28.0,,2023-07-04 01:45:00
2023-10-03,3011,95,2023-10-03 01:50:00,70,70,70,7,86,20,A,146.0,12.0,1.0,26.0,16.0,28.0,,2023-07-04 01:50:00
2023-10-03,3011,99,2023-10-03 01:55:00,70,70,70,0,0,20,A,164.0,12.0,1.0,18.0,16.0,18.0,,2023-07-04 01:55:00
2023-10-03,3011,103,2023-10-03 02:00:00,70,70,70,36,87,20,A,150.0,12.0,1.0,24.0,14.0,28.0,,2023-07-04 02:00:00
2023-10-03,3011,108,2023-10-03 02:05:00,70,70,70,12,85,20,A,146.0,12.0,1.0,26.0,16.0,28.0,,2023-07-04 02:05:00
