Date,Site_ID,Error,Combined_DateTime,2368-1,2368-10,2368-11,2368-12,2368-13,2368-14,2368-15,2368-16,2368-17,2368-18,2368-19,2368-2,2368-20,2368-21,2368-22,2368-23,2368-24,2368-3,2368-4,2368-5,2368-6,2368-7,2368-8,2368-9
8/03/2023,2368,False,2023-08-03 03:25:00,2,1,11,5,0,7,0,0,5,7,3,0,0,0,74,2,1,5,9,0,2,94,36,20
8/03/2023,2368,False,2023-08-03 03:30:00,4,3,5,12,1,5,0,3,10,4,6,1,1,0,72,6,0,3,18,0,6,75,20,10
8/03/2023,2368,False,2023-08-03 03:35:00,1,2,9,3,0,4,1,1,8,5,0,1,0,0,69,1,0,4,9,0,1,93,18,16
8/03/2023,2368,False,2023-08-03 03:40:00,3,6,10,15,0,9,0,3,3,9,7,4,0,0,42,3,0,4,13,0,4,70,16,17
8/03/2023,2368,False,2023-08-03 03:45:00,9,0,5,8,0,3,1,7,5,4,2,4,0,0,37,6,1,6,10,0,4,30,27,15
8/03/2023,2368,False,2023-08-03 03:50:00,4,4,10,29,0,6,1,1,6,11,5,1,0,1,62,2,2,6,11,1,4,52,30,21
8/03/2023,2368,False,2023-08-03 03:55:00,2,1,7,29,0,8,0,8,5,20,3,0,0,0,44,5,0,4,16,0,3,33,30,19
8/03/2023,2368,False,2023-08-03 04:00:00,2,1,5,13,0,5,0,13,8,8,4,1,0,0,44,8,0,6,11,0,1,39,22,10
8/03/2023,2368,False,2023-08-03 04:05:00,1,2,9,33,0,0,0,4,8,15,1,1,0,0,57,3,0,2,8,0,5,46,29,22
8/03/2023,2368,False,2023-08-03 04:10:00,1,2,3,31,0,10,1,2,3,16,0,0,0,0,47,2,0,5,10,0,2,44,26,12
8/03/2023,2368,False,2023-08-03 04:15:00,3,3,7,9,0,8,1,3,3,6,1,1,0,0,36,4,0,8,14,0,3,42,24,12
8/03/2023,2368,False,2023-08-03 04:20:00,5,3,10,25,1,8,1,6,10,15,1,1,0,0,40,5,0,5,15,0,3,46,21,9
