Date,Site ID,Cycle sequence,Combined_DateTime,Planned cycle length,Actual cycle length,Required cycle length,DS,Strategic approach controlling cycle time,Subsystem number,Stretched phase,A,B,C,D,E,F,G,Rounded_Time
2023-08-03,3039,1,2023-08-03 00:00:00,50,50,50,32,197,48,A,166.0,1.0,25.0,37.0,,,,2023-07-04 00:00:00
2023-08-03,3039,7,2023-08-03 00:05:00,50,50,50,15,196,48,A,169.0,1.0,29.0,30.0,,,,2023-07-04 00:05:00
2023-08-03,3039,13,2023-08-03 00:10:00,50,50,50,10,195,48,A,168.0,1.0,32.0,28.0,,,,2023-07-04 00:10:00
2023-08-03,3039,19,2023-08-03 00:15:00,50,50,50,10,496,48,A,163.0,1.0,29.0,36.0,,,,2023-07-04 00:15:00
2023-08-03,3039,25,2023-08-03 00:20:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 00:20:00
2023-08-03,3039,31,2023-08-03 00:25:00,50,50,50,0,0,48,A,166.0,1.0,31.0,31.0,,,,2023-07-04 00:25:00
2023-08-03,3039,37,2023-08-03 00:30:00,50,50,50,11,496,48,A,168.0,1.0,27.0,33.0,,,,2023-07-04 00:30:00
2023-08-03,3039,43,2023-08-03 00:35:00,50,50,50,0,0,48,A,166.0,1.0,31.0,31.0,,,,2023-07-04 00:35:00
2023-08-03,3039,49,2023-08-03 00:40:00,50,50,50,16,197,48,A,161.0,1.0,29.0,38.0,,,,2023-07-04 00:40:00
2023-08-03,3039,55,2023-08-03 00:45:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 00:45:00
2023-08-03,3039,61,2023-08-03 00:50:00,50,50,50,13,496,48,A,172.0,1.0,23.0,33.0,,,,2023-07-04 00:50:00
2023-08-03,3039,67,2023-08-03 00:55:00,50,50,50,6,196,48,A,169.0,1.0,23.0,36.0,,,,2023-07-04 00:55:00
2023-08-03,3039,73,2023-08-03 01:00:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 01:00:00
2023-08-03,3039,79,2023-08-03 01:05:00,50,50,50,21,198,48,A,166.0,1.0,34.0,28.0,,,,2023-07-04 01:05:00
2023-08-03,3039,85,2023-08-03 01:10:00,50,50,50,0,0,48,A,166.0,1.0,31.0,31.0,,,,2023-07-04 01:10:00
2023-08-03,3039,91,2023-08-03 01:15:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 01:15:00
2023-08-03,3039,97,2023-08-03 01:20:00,50,50,50,0,0,48,A,166.0,1.0,31.0,31.0,,,,2023-07-04 01:20:00
2023-08-03,3039,103,2023-08-03 01:25:00,50,50,50,5,496,48,A,166.0,1.0,31.0,31.0,,,,2023-07-04 01:25:00
2023-08-03,3039,109,2023-08-03 01:30:00,50,50,50,19,198,48,A,163.0,1.0,34.0,31.0,,,,2023-07-04 01:30:00
2023-08-03,3039,115,2023-08-03 01:35:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 01:35:00
2023-08-03,3039,121,2023-08-03 01:40:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 01:40:00
2023-08-03,3039,127,2023-08-03 01:45:00,50,50,50,22,197,48,A,163.0,1.0,29.0,36.0,,,,2023-07-04 01:45:00
2023-08-03,3039,133,2023-08-03 01:50:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 01:50:00
2023-08-03,3039,139,2023-08-03 01:55:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 01:55:00
2023-08-03,3039,145,2023-08-03 02:00:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 02:00:00
2023-08-03,3039,151,2023-08-03 02:05:00,50,50,50,15,198,48,A,166.0,1.0,31.0,31.0,,,,2023-07-04 02:05:00
2023-08-03,3039,157,2023-08-03 02:10:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 02:10:00
2023-08-03,3039,163,2023-08-03 02:15:00,50,50,50,14,198,48,A,166.0,1.0,31.0,31.0,,,,2023-07-04 02:15:00
2023-08-03,3039,169,2023-08-03 02:20:00,50,50,50,0,0,48,A,166.0,1.0,31.0,31.0,,,,2023-07-04 02:20:00
2023-08-03,3039,175,2023-08-03 02:25:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 02:25:00
2023-08-03,3039,181,2023-08-03 02:30:00,50,50,50,6,196,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 02:30:00
2023-08-03,3039,187,2023-08-03 02:35:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 02:35:00
2023-08-03,3039,193,2023-08-03 02:40:00,50,50,50,0,0,48,A,166.0,1.0,31.0,31.0,,,,2023-07-04 02:40:00
2023-08-03,3039,199,2023-08-03 02:45:00,50,50,50,5,496,48,A,166.0,1.0,31.0,31.0,,,,2023-07-04 02:45:00
2023-08-03,3039,205,2023-08-03 02:50:00,50,50,50,32,197,48,A,166.0,1.0,26.0,36.0,,,,2023-07-04 02:50:00
2023-08-03,3039,211,2023-08-03 02:55:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 02:55:00
2023-08-03,3039,217,2023-08-03 03:00:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 03:00:00
2023-08-03,3039,223,2023-08-03 03:05:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 03:05:00
2023-08-03,3039,229,2023-08-03 03:10:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 03:10:00
2023-08-03,3039,235,2023-08-03 03:15:00,50,50,50,5,496,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 03:15:00
2023-08-03,3039,241,2023-08-03 03:20:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 03:20:00
2023-08-03,3039,247,2023-08-03 03:25:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 03:25:00
2023-08-03,3039,253,2023-08-03 03:30:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 03:30:00
2023-08-03,3039,259,2023-08-03 03:35:00,50,50,50,0,0,48,A,166.0,1.0,31.0,31.0,,,,2023-07-04 03:35:00
2023-08-03,3039,265,2023-08-03 03:40:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 03:40:00
2023-08-03,3039,271,2023-08-03 03:45:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 03:45:00
2023-08-03,3039,277,2023-08-03 03:50:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 03:50:00
2023-08-03,3039,283,2023-08-03 03:55:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 03:55:00
2023-08-03,3039,289,2023-08-03 04:00:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 04:00:00
2023-08-03,3039,295,2023-08-03 04:05:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 04:05:00
2023-08-03,3039,301,2023-08-03 04:10:00,50,50,50,0,0,48,A,166.0,1.0,31.0,31.0,,,,2023-07-04 04:10:00
2023-08-03,3039,307,2023-08-03 04:15:00,50,50,50,0,0,48,A,166.0,1.0,31.0,31.0,,,,2023-07-04 04:15:00
2023-08-03,3039,313,2023-08-03 04:20:00,50,50,50,0,0,48,A,166.0,1.0,31.0,31.0,,,,2023-07-04 04:20:00
2023-08-03,3039,319,2023-08-03 04:25:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 04:25:00
2023-08-03,3039,325,2023-08-03 04:30:00,50,50,50,9,195,48,A,169.0,1.0,26.0,33.0,,,,2023-07-04 04:30:00
2023-08-03,3039,331,2023-08-03 04:35:00,50,50,50,18,198,48,A,166.0,1.0,32.0,30.0,,,,2023-07-04 04:35:00
2023-08-03,3039,337,2023-08-03 04:40:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 04:40:00
2023-08-03,3039,343,2023-08-03 04:45:00,50,50,50,0,0,48,A,166.0,1.0,31.0,31.0,,,,2023-07-04 04:45:00
2023-08-03,3039,349,2023-08-03 04:50:00,50,50,50,5,496,48,A,166.0,1.0,31.0,31.0,,,,2023-07-04 04:50:00
2023-08-03,3039,355,2023-08-03 04:55:00,50,50,50,11,195,48,A,168.0,1.0,27.0,33.0,,,,2023-07-04 04:55:00
2023-08-03,3039,361,2023-08-03 05:00:00,50,50,50,16,198,48,A,166.0,1.0,35.0,27.0,,,,2023-07-04 05:00:00
2023-08-03,3039,367,2023-08-03 05:05:00,50,50,50,0,0,48,A,166.0,1.0,31.0,31.0,,,,2023-07-04 05:05:00
2023-08-03,3039,373,2023-08-03 05:10:00,50,50,50,15,198,48,A,166.0,1.0,31.0,31.0,,,,2023-07-04 05:10:00
2023-08-03,3039,379,2023-08-03 05:15:00,50,50,50,23,198,48,A,166.0,1.0,31.0,31.0,,,,2023-07-04 05:15:00
2023-08-03,3039,385,2023-08-03 05:20:00,50,50,50,16,198,48,A,166.0,1.0,34.0,28.0,,,,2023-07-04 05:20:00
2023-08-03,3039,391,2023-08-03 05:25:00,50,50,50,18,198,48,A,166.0,1.0,35.0,27.0,,,,2023-07-04 05:25:00
2023-08-03,3039,397,2023-08-03 05:30:00,50,50,50,0,0,48,A,166.0,1.0,29.0,33.0,,,,2023-07-04 05:30:00
2023-08-03,3039,403,2023-08-03 05:35:00,50,50,50,23,197,48,A,171.0,1.0,23.0,34.0,,,,2023-07-04 05:35:00
2023-08-03,3039,409,2023-08-03 05:40:00,50,50,50,11,195,48,A,168.0,1.0,34.0,26.0,,,,2023-07-04 05:40:00
2023-08-03,3039,415,2023-08-03 05:45:00,50,50,50,35,195,48,A,171.0,1.0,33.0,24.0,,,,2023-07-04 05:45:00
2023-08-03,3039,421,2023-08-03 05:50:00,50,50,50,10,195,48,A,170.0,1.0,34.0,24.0,,,,2023-07-04 05:50:00
2023-08-03,3039,427,2023-08-03 05:55:00,50,50,50,32,198,48,A,167.0,1.0,34.0,27.0,,,,2023-07-04 05:55:00
2023-08-03,3039,433,2023-08-03 06:00:00,50,50,50,15,195,48,A,173.0,1.0,30.0,25.0,,,,2023-07-04 06:00:00
2023-08-03,3039,439,2023-08-03 06:05:00,50,50,50,15,198,48,A,159.0,1.0,45.0,24.0,,,,2023-07-04 06:05:00
2023-08-03,3039,445,2023-08-03 06:10:00,50,50,50,29,195,48,A,174.0,1.0,27.0,27.0,,,,2023-07-04 06:10:00
2023-08-03,3039,451,2023-08-03 06:15:00,50,50,50,51,195,48,A,172.0,1.0,29.0,27.0,,,,2023-07-04 06:15:00
