Date,Site ID,Cycle sequence,Combined_DateTime,Planned cycle length,Actual cycle length,Required cycle length,DS,Strategic approach controlling cycle time,Subsystem number,Stretched phase,A,B,C,D,E,F,G,Rounded_Time
2023-09-03,2362,1,2023-09-03 00:00:00,60,60,60,9,364,69,A,193.0,1.0,15.0,20.0,,,,2023-07-04 00:00:00
2023-09-03,2362,6,2023-09-03 00:05:00,60,60,60,6,364,69,A,198.0,1.0,12.0,18.0,,,,2023-07-04 00:05:00
2023-09-03,2362,11,2023-09-03 00:10:00,60,60,60,15,363,69,A,202.0,1.0,12.0,14.0,,,,2023-07-04 00:10:00
2023-09-03,2362,16,2023-09-03 00:15:00,60,60,60,5,363,69,A,202.0,1.0,12.0,14.0,,,,2023-07-04 00:15:00
2023-09-03,2362,21,2023-09-03 00:20:00,60,60,60,6,363,69,A,202.0,1.0,12.0,14.0,,,,2023-07-04 00:20:00
2023-09-03,2362,26,2023-09-03 00:25:00,60,60,60,9,363,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 00:25:00
2023-09-03,2362,31,2023-09-03 00:30:00,60,60,60,6,363,69,A,190.0,1.0,18.0,20.0,,,,2023-07-04 00:30:00
2023-09-03,2362,36,2023-09-03 00:35:00,60,60,60,6,364,69,A,190.0,1.0,18.0,20.0,,,,2023-07-04 00:35:00
2023-09-03,2362,41,2023-09-03 00:40:00,60,60,60,6,363,69,A,190.0,1.0,18.0,20.0,,,,2023-07-04 00:40:00
2023-09-03,2362,46,2023-09-03 00:45:00,60,60,60,8,363,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 00:45:00
2023-09-03,2362,51,2023-09-03 00:50:00,60,60,60,0,0,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 00:50:00
2023-09-03,2362,56,2023-09-03 00:55:00,60,60,60,5,363,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 00:55:00
2023-09-03,2362,61,2023-09-03 01:00:00,60,60,60,0,0,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 01:00:00
2023-09-03,2362,66,2023-09-03 01:05:00,60,60,60,8,363,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 01:05:00
2023-09-03,2362,71,2023-09-03 01:10:00,60,60,60,6,363,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 01:10:00
2023-09-03,2362,76,2023-09-03 01:15:00,60,60,60,5,363,69,A,189.0,1.0,19.0,20.0,,,,2023-07-04 01:15:00
2023-09-03,2362,81,2023-09-03 01:20:00,60,60,60,8,363,69,A,189.0,1.0,19.0,20.0,,,,2023-07-04 01:20:00
2023-09-03,2362,86,2023-09-03 01:25:00,60,60,60,0,0,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 01:25:00
2023-09-03,2362,91,2023-09-03 01:30:00,60,60,60,9,363,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 01:30:00
2023-09-03,2362,96,2023-09-03 01:35:00,60,60,60,5,363,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 01:35:00
2023-09-03,2362,101,2023-09-03 01:40:00,60,60,60,6,364,69,A,190.0,1.0,18.0,20.0,,,,2023-07-04 01:40:00
2023-09-03,2362,106,2023-09-03 01:45:00,60,60,60,6,364,69,A,189.0,1.0,19.0,20.0,,,,2023-07-04 01:45:00
2023-09-03,2362,111,2023-09-03 01:50:00,60,60,60,6,363,69,A,189.0,1.0,19.0,20.0,,,,2023-07-04 01:50:00
2023-09-03,2362,116,2023-09-03 01:55:00,60,60,60,15,363,69,A,192.0,1.0,16.0,20.0,,,,2023-07-04 01:55:00
2023-09-03,2362,121,2023-09-03 02:00:00,60,60,60,6,364,69,A,189.0,1.0,19.0,20.0,,,,2023-07-04 02:00:00
2023-09-03,2362,126,2023-09-03 02:05:00,60,60,60,5,363,69,A,191.0,1.0,17.0,20.0,,,,2023-07-04 02:05:00
2023-09-03,2362,131,2023-09-03 02:10:00,60,60,60,5,363,69,A,192.0,1.0,16.0,20.0,,,,2023-07-04 02:10:00
2023-09-03,2362,136,2023-09-03 02:15:00,60,60,60,6,363,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 02:15:00
2023-09-03,2362,141,2023-09-03 02:20:00,60,60,60,5,363,69,A,189.0,1.0,19.0,20.0,,,,2023-07-04 02:20:00
2023-09-03,2362,146,2023-09-03 02:25:00,60,60,60,8,363,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 02:25:00
2023-09-03,2362,151,2023-09-03 02:30:00,60,60,60,6,364,69,A,189.0,1.0,19.0,20.0,,,,2023-07-04 02:30:00
2023-09-03,2362,156,2023-09-03 02:35:00,60,60,60,0,0,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 02:35:00
2023-09-03,2362,161,2023-09-03 02:40:00,60,60,60,0,0,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 02:40:00
2023-09-03,2362,166,2023-09-03 02:45:00,60,60,60,6,364,69,A,189.0,1.0,19.0,20.0,,,,2023-07-04 02:45:00
2023-09-03,2362,171,2023-09-03 02:50:00,60,60,60,9,364,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 02:50:00
2023-09-03,2362,176,2023-09-03 02:55:00,60,60,60,0,0,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 02:55:00
2023-09-03,2362,181,2023-09-03 03:00:00,60,60,60,5,363,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 03:00:00
2023-09-03,2362,186,2023-09-03 03:05:00,60,60,60,6,363,69,A,189.0,1.0,19.0,20.0,,,,2023-07-04 03:05:00
2023-09-03,2362,191,2023-09-03 03:10:00,60,60,60,0,0,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 03:10:00
2023-09-03,2362,196,2023-09-03 03:15:00,60,60,60,0,0,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 03:15:00
2023-09-03,2362,201,2023-09-03 03:20:00,60,60,60,5,363,69,A,189.0,1.0,19.0,20.0,,,,2023-07-04 03:20:00
2023-09-03,2362,206,2023-09-03 03:25:00,60,60,60,6,364,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 03:25:00
2023-09-03,2362,211,2023-09-03 03:30:00,60,60,60,8,363,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 03:30:00
2023-09-03,2362,216,2023-09-03 03:35:00,60,60,60,0,0,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 03:35:00
2023-09-03,2362,221,2023-09-03 03:40:00,60,60,60,8,364,69,A,190.0,1.0,18.0,20.0,,,,2023-07-04 03:40:00
2023-09-03,2362,226,2023-09-03 03:45:00,60,60,60,6,363,69,A,191.0,1.0,17.0,20.0,,,,2023-07-04 03:45:00
2023-09-03,2362,231,2023-09-03 03:50:00,60,60,60,5,364,69,A,189.0,1.0,19.0,20.0,,,,2023-07-04 03:50:00
2023-09-03,2362,236,2023-09-03 03:55:00,60,60,60,5,364,69,A,189.0,1.0,19.0,20.0,,,,2023-07-04 03:55:00
2023-09-03,2362,241,2023-09-03 04:00:00,60,60,60,6,364,69,A,192.0,1.0,16.0,20.0,,,,2023-07-04 04:00:00
2023-09-03,2362,246,2023-09-03 04:05:00,60,60,60,0,0,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 04:05:00
2023-09-03,2362,251,2023-09-03 04:10:00,60,60,60,9,364,69,A,189.0,1.0,19.0,20.0,,,,2023-07-04 04:10:00
2023-09-03,2362,256,2023-09-03 04:15:00,60,60,60,0,0,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 04:15:00
2023-09-03,2362,261,2023-09-03 04:20:00,60,60,60,0,0,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 04:20:00
2023-09-03,2362,266,2023-09-03 04:25:00,60,60,60,5,363,69,A,189.0,1.0,19.0,20.0,,,,2023-07-04 04:25:00
2023-09-03,2362,271,2023-09-03 04:30:00,60,60,60,6,364,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 04:30:00
2023-09-03,2362,276,2023-09-03 04:35:00,60,60,60,5,363,69,A,190.0,1.0,18.0,20.0,,,,2023-07-04 04:35:00
2023-09-03,2362,281,2023-09-03 04:40:00,60,60,60,6,364,69,A,195.0,1.0,13.0,20.0,,,,2023-07-04 04:40:00
2023-09-03,2362,286,2023-09-03 04:45:00,60,60,60,15,364,69,A,198.0,1.0,12.0,18.0,,,,2023-07-04 04:45:00
2023-09-03,2362,291,2023-09-03 04:50:00,60,60,60,16,364,69,A,192.0,1.0,16.0,20.0,,,,2023-07-04 04:50:00
2023-09-03,2362,296,2023-09-03 04:55:00,60,60,60,11,364,69,A,193.0,1.0,15.0,20.0,,,,2023-07-04 04:55:00
2023-09-03,2362,301,2023-09-03 05:00:00,60,60,60,6,364,69,A,194.0,1.0,14.0,20.0,,,,2023-07-04 05:00:00
2023-09-03,2362,306,2023-09-03 05:05:00,60,60,60,12,364,69,A,202.0,1.0,12.0,14.0,,,,2023-07-04 05:05:00
2023-09-03,2362,311,2023-09-03 05:10:00,60,60,60,13,364,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 05:10:00
2023-09-03,2362,316,2023-09-03 05:15:00,60,60,60,0,0,69,A,188.0,1.0,20.0,20.0,,,,2023-07-04 05:15:00
2023-09-03,2362,321,2023-09-03 05:20:00,60,60,60,22,364,69,A,193.0,1.0,14.0,21.0,,,,2023-07-04 05:20:00
2023-09-03,2362,326,2023-09-03 05:25:00,60,60,60,12,364,69,A,196.0,1.0,12.0,20.0,,,,2023-07-04 05:25:00
2023-09-03,2362,331,2023-09-03 05:30:00,60,60,60,8,363,69,A,197.0,1.0,12.0,19.0,,,,2023-07-04 05:30:00
2023-09-03,2362,336,2023-09-03 05:35:00,60,60,60,17,364,69,A,197.0,1.0,12.0,19.0,,,,2023-07-04 05:35:00
2023-09-03,2362,341,2023-09-03 05:40:00,60,60,60,15,363,69,A,200.0,1.0,12.0,16.0,,,,2023-07-04 05:40:00
2023-09-03,2362,346,2023-09-03 05:45:00,60,60,60,17,364,69,A,200.0,1.0,12.0,16.0,,,,2023-07-04 05:45:00
2023-09-03,2362,351,2023-09-03 05:50:00,60,60,60,12,364,69,A,201.0,1.0,12.0,15.0,,,,2023-07-04 05:50:00
2023-09-03,2362,356,2023-09-03 05:55:00,60,60,60,16,364,69,A,203.0,1.0,12.0,13.0,,,,2023-07-04 05:55:00
2023-09-03,2362,361,2023-09-03 06:00:00,60,60,60,12,364,69,A,203.0,1.0,12.0,13.0,,,,2023-07-04 06:00:00
2023-09-03,2362,366,2023-09-03 06:05:00,60,60,60,33,364,69,A,203.0,1.0,12.0,13.0,,,,2023-07-04 06:05:00
2023-09-03,2362,371,2023-09-03 06:10:00,60,60,60,13,364,69,A,203.0,1.0,12.0,13.0,,,,2023-07-04 06:10:00
2023-09-03,2362,376,2023-09-03 06:15:00,60,60,60,18,364,69,A,204.0,1.0,12.0,12.0,,,,2023-07-04 06:15:00
2023-09-03,2362,381,2023-09-03 06:20:00,60,60,60,21,364,69,A,204.0,1.0,12.0,12.0,,,,2023-07-04 06:20:00
2023-09-03,2362,386,2023-09-03 06:25:00,60,60,60,30,364,69,A,204.0,1.0,12.0,12.0,,,,2023-07-04 06:25:00
2023-09-03,2362,391,2023-09-03 06:30:00,60,60,60,16,364,69,A,204.0,1.0,12.0,12.0,,,,2023-07-04 06:30:00
2023-09-03,2362,396,2023-09-03 06:35:00,60,60,60,23,364,69,A,204.0,1.0,12.0,12.0,,,,2023-07-04 06:35:00
2023-09-03,2362,401,2023-09-03 06:40:00,60,60,60,37,364,69,A,204.0,1.0,12.0,12.0,,,,2023-07-04 06:40:00
2023-09-03,2362,406,2023-09-03 06:45:00,60,60,60,24,364,69,A,204.0,1.0,12.0,12.0,,,,2023-07-04 06:45:00
2023-09-03,2362,411,2023-09-03 06:50:00,60,60,60,27,364,69,A,204.0,1.0,12.0,12.0,,,,2023-07-04 06:50:00
2023-09-03,2362,416,2023-09-03 06:55:00,60,60,60,17,364,69,A,204.0,1.0,12.0,12.0,,,,2023-07-04 06:55:00
2023-09-03,2362,421,2023-09-03 07:00:00,60,60,60,39,364,69,A,204.0,1.0,12.0,12.0,,,,2023-07-04 07:00:00
2023-09-03,2362,426,2023-09-03 07:05:00,80,80,80,40,364,69,A,207.0,1.0,9.0,12.0,,,,2023-07-04 07:05:00
2023-09-03,2362,430,2023-09-03 07:10:00,80,80,80,26,364,69,A,208.0,1.0,9.0,11.0,,,,2023-07-04 07:10:00
2023-09-03,2362,433,2023-09-03 07:15:00,80,80,80,26,363,69,A,210.0,1.0,9.0,9.0,,,,2023-07-04 07:15:00
2023-09-03,2362,437,2023-09-03 07:20:00,80,80,80,28,364,69,A,210.0,1.0,9.0,9.0,,,,2023-07-04 07:20:00
2023-09-03,2362,441,2023-09-03 07:25:00,80,80,80,25,364,69,A,210.0,1.0,9.0,9.0,,,,2023-07-04 07:25:00
2023-09-03,2362,445,2023-09-03 07:30:00,80,80,80,22,364,69,A,210.0,1.0,9.0,9.0,,,,2023-07-04 07:30:00
2023-09-03,2362,448,2023-09-03 07:35:00,80,80,80,28,364,69,A,210.0,1.0,9.0,9.0,,,,2023-07-04 07:35:00
2023-09-03,2362,452,2023-09-03 07:40:00,60,60,60,27,364,69,A,207.0,1.0,10.0,11.0,,,,2023-07-04 07:40:00
2023-09-03,2362,457,2023-09-03 07:45:00,60,60,60,23,364,69,A,204.0,1.0,12.0,12.0,,,,2023-07-04 07:45:00
2023-09-03,2362,462,2023-09-03 07:50:00,60,60,60,39,364,69,A,204.0,1.0,12.0,12.0,,,,2023-07-04 07:50:00
2023-09-03,2362,467,2023-09-03 07:55:00,60,60,60,18,363,69,A,204.0,1.0,12.0,12.0,,,,2023-07-04 07:55:00
2023-09-03,2362,472,2023-09-03 08:00:00,80,80,80,24,364,69,A,205.0,1.0,10.0,13.0,,,,2023-07-04 08:00:00
2023-09-03,2362,476,2023-09-03 08:05:00,80,80,80,22,364,69,A,208.0,1.0,9.0,11.0,,,,2023-07-04 08:05:00
2023-09-03,2362,480,2023-09-03 08:10:00,80,80,80,32,364,69,A,208.0,1.0,9.0,11.0,,,,2023-07-04 08:10:00
2023-09-03,2362,483,2023-09-03 08:15:00,80,80,80,44,364,69,A,210.0,1.0,9.0,9.0,,,,2023-07-04 08:15:00
2023-09-03,2362,487,2023-09-03 08:20:00,80,80,80,42,364,69,A,210.0,1.0,9.0,9.0,,,,2023-07-04 08:20:00
2023-09-03,2362,491,2023-09-03 08:25:00,80,80,80,27,364,69,A,210.0,1.0,9.0,9.0,,,,2023-07-04 08:25:00
2023-09-03,2362,495,2023-09-03 08:30:00,80,80,80,22,363,69,A,210.0,1.0,9.0,9.0,,,,2023-07-04 08:30:00
2023-09-03,2362,498,2023-09-03 08:35:00,80,80,80,21,364,69,A,210.0,1.0,9.0,9.0,,,,2023-07-04 08:35:00
2023-09-03,2362,502,2023-09-03 08:40:00,80,80,80,21,364,69,A,210.0,1.0,9.0,9.0,,,,2023-07-04 08:40:00
